EGID,Official Building No,Building Status,Building Category,Building Class,Date of Construction,Year of Demolition,Surface Area of Building,Number of Floors,Heating Device Info,Record Modification Info
140078,854,1007,1020,1121,1837,2007,86,6,"heatGeneratorHeating: 7430, energySourceHeating: 7520, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
140604,868,1007,1020,1121,1838,2009,147,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141094,7597,1007,1020,1110,1950,2009,200,3,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2015-04-09"
141126,1920,1007,1020,1110,1951-01,2023,215,4,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 859, revisionDate: 2019-08-29","createDate: 2001-11-29, updateDate: 2023-04-27"
141156,7057,1007,1020,1122,1945,2018,267,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141157,7059,1007,1020,1122,1945,2018,244,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141158,7073,1007,1020,1122,1945,2018,244,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141159,7048,1007,1020,1122,1945,2018,267,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141160,7078,1007,1020,1122,1945,2018,246,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141161,7079,1007,1020,1122,1945,2018,245,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141162,7047,1007,1020,1122,1945,2018,271,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141163,7050,1007,1020,1122,1945,2018,271,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
141164,7052,1007,1020,1122,1945,2018,270,5,"heatGeneratorHeating: 7430, energySourceHeating: 7530, informationSourceHeating: 860, revisionDate: 2001-11-29","createDate: 2001-11-29, updateDate: 2019-10-24"
